id; userid; assignment; locked; mailed; extensionduedate; workflowstate; allocatedmarker; 
1; 875; 119; 0; 0; 0; 0; 0; 
2; 301; 22; 0; 0; 0; 0; 0; 
3; 306; 22; 0; 0; 0; 0; 0; 
4; 307; 22; 0; 0; 0; 0; 0; 
5; 308; 22; 0; 0; 0; 0; 0; 
6; 312; 22; 0; 0; 0; 0; 0; 
7; 316; 22; 0; 0; 0; 0; 0; 
8; 318; 22; 0; 0; 0; 0; 0; 
9; 323; 22; 0; 0; 0; 0; 0; 
10; 326; 22; 0; 0; 0; 0; 0; 
11; 329; 22; 0; 0; 0; 0; 0; 
12; 330; 22; 0; 0; 0; 0; 0; 
13; 331; 22; 0; 0; 0; 0; 0; 
14; 332; 22; 0; 0; 0; 0; 0; 
15; 333; 22; 0; 0; 0; 0; 0; 
16; 334; 22; 0; 0; 0; 0; 0; 
17; 336; 22; 0; 0; 0; 0; 0; 
18; 337; 22; 0; 0; 0; 0; 0; 
19; 338; 22; 0; 0; 0; 0; 0; 
20; 339; 22; 0; 0; 0; 0; 0; 
21; 340; 22; 0; 0; 0; 0; 0; 
22; 342; 22; 0; 0; 0; 0; 0; 
23; 343; 22; 0; 0; 0; 0; 0; 
24; 344; 22; 0; 0; 0; 0; 0; 
25; 346; 22; 0; 0; 0; 0; 0; 
26; 348; 22; 0; 0; 0; 0; 0; 
27; 412; 22; 0; 0; 0; 0; 0; 
28; 413; 22; 0; 0; 0; 0; 0; 
29; 414; 22; 0; 0; 0; 0; 0; 
30; 415; 22; 0; 0; 0; 0; 0; 
31; 1262; 22; 0; 0; 0; 0; 0; 
32; 1574; 22; 0; 0; 0; 0; 0; 
33; 318; 23; 0; 0; 0; 0; 0; 
34; 342; 23; 0; 0; 0; 0; 0; 
35; 415; 23; 0; 0; 0; 0; 0; 
36; 1574; 23; 0; 0; 0; 0; 0; 
37; 1585; 23; 0; 0; 0; 0; 0; 
38; 1263; 134; 0; 0; 0; 0; 0; 
39; 1267; 134; 0; 0; 0; 0; 0; 
40; 1273; 134; 0; 0; 0; 0; 0; 
41; 1264; 134; 0; 0; 0; 0; 0; 
42; 1269; 134; 0; 0; 0; 0; 0; 
43; 1280; 134; 0; 0; 0; 0; 0; 
44; 1265; 134; 0; 0; 0; 0; 0; 
45; 1278; 134; 0; 0; 0; 0; 0; 
46; 1275; 134; 0; 0; 0; 0; 0; 
47; 1666; 134; 0; 0; 0; 0; 0; 
48; 1281; 134; 0; 0; 0; 0; 0; 
49; 1266; 134; 0; 0; 0; 0; 0; 
50; 1272; 134; 0; 0; 0; 0; 0; 
51; 1279; 134; 0; 0; 0; 0; 0; 
52; 1277; 134; 0; 0; 0; 0; 0; 
53; 1270; 134; 0; 0; 0; 0; 0; 
54; 1271; 134; 0; 0; 0; 0; 0; 
55; 1268; 134; 0; 0; 0; 0; 0; 
56; 1276; 134; 0; 0; 0; 0; 0; 
57; 1274; 134; 0; 0; 0; 0; 0; 
58; 1286; 135; 0; 0; 0; 0; 0; 
59; 1290; 135; 0; 0; 0; 0; 0; 
60; 1296; 135; 0; 0; 0; 0; 0; 
61; 1285; 135; 0; 0; 0; 0; 0; 
62; 1299; 135; 0; 0; 0; 0; 0; 
63; 1288; 135; 0; 0; 0; 0; 0; 
64; 1283; 135; 0; 0; 0; 0; 0; 
65; 1291; 135; 0; 0; 0; 0; 0; 
66; 1069; 135; 0; 0; 0; 0; 0; 
67; 1298; 135; 0; 0; 0; 0; 0; 
68; 1289; 135; 0; 0; 0; 0; 0; 
69; 1282; 135; 0; 0; 0; 0; 0; 
70; 1292; 135; 0; 0; 0; 0; 0; 
71; 1287; 135; 0; 0; 0; 0; 0; 
72; 1654; 135; 0; 0; 0; 0; 0; 
73; 1284; 135; 0; 0; 0; 0; 0; 
74; 1293; 135; 0; 0; 0; 0; 0; 
75; 1297; 135; 0; 0; 0; 0; 0; 
76; 1294; 135; 0; 0; 0; 0; 0; 
77; 1295; 135; 0; 0; 0; 0; 0; 
78; 296; 120; 0; 0; 0; 0; 0; 
79; 1005; 152; 0; 0; 0; 0; 0; 
80; 1305; 218; 0; 0; 0; 0; 0; 
81; 1312; 218; 0; 0; 0; 0; 0; 
82; 1321; 218; 0; 0; 0; 0; 0; 
83; 1325; 218; 0; 0; 0; 0; 0; 
84; 196; 121; 0; 0; 0; 0; 0; 
85; 198; 121; 0; 0; 0; 0; 0; 
86; 203; 121; 0; 0; 0; 0; 0; 
87; 200; 121; 0; 0; 0; 0; 0; 
88; 1561; 117; 0; 0; 0; 0; 0; 
89; 1562; 117; 0; 0; 0; 0; 0; 
90; 1562; 118; 0; 0; 0; 0; 0; 
91; 1561; 118; 0; 0; 0; 0; 0; 
92; 792; 90; 0; 0; 0; 0; 0; 
93; 800; 90; 0; 0; 0; 0; 0; 
94; 794; 90; 0; 0; 0; 0; 0; 
95; 809; 90; 0; 0; 0; 0; 0; 
96; 205; 121; 0; 0; 0; 0; 0; 
97; 793; 90; 0; 0; 0; 0; 0; 
98; 795; 90; 0; 0; 0; 0; 0; 
99; 209; 121; 0; 0; 0; 0; 0; 
100; 806; 90; 0; 0; 0; 0; 0; 
101; 788; 90; 0; 0; 0; 0; 0; 
102; 802; 90; 0; 0; 0; 0; 0; 
103; 803; 90; 0; 0; 0; 0; 0; 
104; 260; 121; 0; 0; 0; 0; 0; 
105; 797; 90; 0; 0; 0; 0; 0; 
106; 799; 90; 0; 0; 0; 0; 0; 
107; 258; 121; 0; 0; 0; 0; 0; 
108; 789; 90; 0; 0; 0; 0; 0; 
109; 791; 90; 0; 0; 0; 0; 0; 
110; 790; 90; 0; 0; 0; 0; 0; 
111; 787; 91; 0; 0; 0; 0; 0; 
112; 803; 91; 0; 0; 0; 0; 0; 
113; 259; 121; 0; 0; 0; 0; 0; 
114; 808; 91; 0; 0; 0; 0; 0; 
115; 804; 91; 0; 0; 0; 0; 0; 
116; 806; 91; 0; 0; 0; 0; 0; 
117; 795; 91; 0; 0; 0; 0; 0; 
118; 223; 121; 0; 0; 0; 0; 0; 
119; 809; 91; 0; 0; 0; 0; 0; 
120; 791; 91; 0; 0; 0; 0; 0; 
121; 794; 91; 0; 0; 0; 0; 0; 
122; 218; 121; 0; 0; 0; 0; 0; 
123; 222; 121; 0; 0; 0; 0; 0; 
124; 237; 121; 0; 0; 0; 0; 0; 
125; 243; 121; 0; 0; 0; 0; 0; 
126; 231; 121; 0; 0; 0; 0; 0; 
127; 1587; 121; 0; 0; 0; 0; 0; 
128; 234; 121; 0; 0; 0; 0; 0; 
129; 227; 121; 0; 0; 0; 0; 0; 
130; 246; 121; 0; 0; 0; 0; 0; 
131; 256; 121; 0; 0; 0; 0; 0; 
132; 230; 121; 0; 0; 0; 0; 0; 
133; 255; 121; 0; 0; 0; 0; 0; 
134; 212; 121; 0; 0; 0; 0; 0; 
135; 241; 121; 0; 0; 0; 0; 0; 
136; 1263; 209; 0; 0; 0; 0; 0; 
137; 1278; 209; 0; 0; 0; 0; 0; 
138; 1275; 209; 0; 0; 0; 0; 0; 
139; 1666; 209; 0; 0; 0; 0; 0; 
140; 1281; 209; 0; 0; 0; 0; 0; 
141; 1266; 209; 0; 0; 0; 0; 0; 
142; 1272; 209; 0; 0; 0; 0; 0; 
143; 1279; 209; 0; 0; 0; 0; 0; 
144; 1277; 209; 0; 0; 0; 0; 0; 
145; 1270; 209; 0; 0; 0; 0; 0; 
146; 1271; 209; 0; 0; 0; 0; 0; 
147; 1268; 209; 0; 0; 0; 0; 0; 
148; 1276; 209; 0; 0; 0; 0; 0; 
149; 1274; 209; 0; 0; 0; 0; 0; 
150; 1267; 209; 0; 0; 0; 0; 0; 
151; 1273; 209; 0; 0; 0; 0; 0; 
152; 1264; 209; 0; 0; 0; 0; 0; 
153; 1269; 209; 0; 0; 0; 0; 0; 
154; 1280; 209; 0; 0; 0; 0; 0; 
155; 1265; 209; 0; 0; 0; 0; 0; 
156; 1069; 210; 0; 0; 0; 0; 0; 
157; 1298; 210; 0; 0; 0; 0; 0; 
158; 1289; 210; 0; 0; 0; 0; 0; 
159; 1282; 210; 0; 0; 0; 0; 0; 
160; 1292; 210; 0; 0; 0; 0; 0; 
161; 1287; 210; 0; 0; 0; 0; 0; 
162; 1654; 210; 0; 0; 0; 0; 0; 
163; 1284; 210; 0; 0; 0; 0; 0; 
164; 1293; 210; 0; 0; 0; 0; 0; 
165; 1297; 210; 0; 0; 0; 0; 0; 
166; 1294; 210; 0; 0; 0; 0; 0; 
167; 1295; 210; 0; 0; 0; 0; 0; 
168; 1286; 210; 0; 0; 0; 0; 0; 
169; 1290; 210; 0; 0; 0; 0; 0; 
170; 1296; 210; 0; 0; 0; 0; 0; 
171; 1285; 210; 0; 0; 0; 0; 0; 
172; 1299; 210; 0; 0; 0; 0; 0; 
173; 1288; 210; 0; 0; 0; 0; 0; 
174; 1283; 210; 0; 0; 0; 0; 0; 
175; 1291; 210; 0; 0; 0; 0; 0; 
176; 249; 121; 0; 0; 0; 0; 0; 
177; 225; 121; 0; 0; 0; 0; 0; 
178; 239; 120; 0; 0; 0; 0; 0; 
179; 274; 120; 0; 0; 0; 0; 0; 
180; 281; 120; 0; 0; 0; 0; 0; 
181; 276; 120; 0; 0; 0; 0; 0; 
182; 269; 120; 0; 0; 0; 0; 0; 
183; 291; 120; 0; 0; 0; 0; 0; 
184; 261; 120; 0; 0; 0; 0; 0; 
185; 285; 120; 0; 0; 0; 0; 0; 
